LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
10.65241,-85.45389,T2M_MAX,1981,27.36,30.11,32.6,32.66,31.82,28.7,28.93,28.03,28.05,27.53,27.3,27.94,29.25
10.65241,-85.45389,T2M_MAX,1982,29.25,31.85,33.45,33.86,30.88,29.37,29.04,30.32,29.9,28.6,30.5,30.76,30.64
10.65241,-85.45389,T2M_MAX,1983,32.16,33.49,34.72,35.62,34.34,31.24,30.71,31.21,30.3,28.78,28.7,29.17,31.69
10.65241,-85.45389,T2M_MAX,1984,30.26,32.03,33.58,34.52,32.46,30.23,29.91,29.78,28.54,28.79,29.19,30.08,30.78
10.65241,-85.45389,T2M_MAX,1985,30.62,32.16,33.54,34.21,33.11,30.74,29.9,29.81,30.68,30.91,30.72,30.88,31.43
10.65241,-85.45389,T2M_MAX,1986,31.08,32.86,33.01,34.65,32.22,29.21,28.67,29.62,28.92,29.08,30.05,30.32,30.79
10.65241,-85.45389,T2M_MAX,1987,31.1,33.01,34.96,33.22,33.41,32.93,30.81,30.86,31.78,31.38,32.86,32.35,32.38
10.65241,-85.45389,T2M_MAX,1988,32.54,32.94,33.85,34.99,33.11,30.8,30.47,29.24,28.05,29.07,30.53,30.61,31.35
10.65241,-85.45389,T2M_MAX,1989,31.92,31.59,33.33,34.42,33.15,31.85,30.91,31.48,29.04,30.1,30.53,30.53,31.57
10.65241,-85.45389,T2M_MAX,1990,32.03,32.48,33.58,34.98,33.09,31.19,30.46,31.17,30.68,29.65,30.24,30.94,31.7
10.65241,-85.45389,T2M_MAX,1991,31.81,32.69,34.6,34.82,31.53,30.98,30.42,30.57,30.88,29.17,30.8,31.08,31.6
10.65241,-85.45389,T2M_MAX,1992,32.24,33.04,34.42,34.73,32.74,30.56,28.94,29.79,29.14,29.1,30.43,31.38,31.37
10.65241,-85.45389,T2M_MAX,1993,31.91,33.18,33.79,34.73,30.5,29.06,29.71,30.21,29.51,30.42,31.99,32.25,31.43
10.65241,-85.45389,T2M_MAX,1994,32.43,33.13,34.41,34.55,33.72,32.3,31.45,31.87,31.26,30.71,30.64,32.13,32.38
10.65241,-85.45389,T2M_MAX,1995,32.4,33.16,34.65,34.52,32.27,29.97,30.05,28.73,28.34,27.31,29.26,30.35,30.9
10.65241,-85.45389,T2M_MAX,1996,31.03,32.65,34.16,34.5,31.86,30.93,30.22,31.24,31.01,29.58,30.03,31.16,31.52
10.65241,-85.45389,T2M_MAX,1997,31.88,32.19,33.71,34.7,33.21,30.2,31.72,31.95,31.03,29.47,29.71,31.02,31.73
10.65241,-85.45389,T2M_MAX,1998,32.83,34.6,35.54,35.86,33.84,31.77,30.58,29.08,28.39,27.42,27.99,28.92,31.38
10.65241,-85.45389,T2M_MAX,1999,30.14,31.02,32.65,33.04,31.35,29.82,29.32,28.55,27.25,26.59,27.42,28.13,29.6
10.65241,-85.45389,T2M_MAX,2000,29.51,30.62,33.11,33.36,31.9,29.6,30.07,30.09,28.02,28.1,29.53,30.13,30.34
10.65241,-85.45389,T2M_MAX,2001,30.57,31.74,33.9,34.02,33.23,29.96,31.17,30.35,28.85,28.4,27.94,30.39,30.88
10.65241,-85.45389,T2M_MAX,2002,31.55,32.19,34.01,34.64,31.68,29.77,29.34,29.83,28.23,27.73,27.92,29.25,30.5
