PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T_Max,1985,23.44,24.81,29.14,29.94,29.84,26.37,24.49,25.31,26.08,25.9,25.15,24.95,29.94
T_Max,1986,23.79,26.47,28.38,29.8,30.48,27.03,24.76,25.3,25.9,25.11,24.74,24.33,30.48
T_Max,1987,24.2,25.99,31.04,27.01,27.66,27.39,25.32,25.17,26.64,25.51,25.33,25.76,31.04
T_Max,1988,25.36,28.06,28.2,29.86,29.42,28.24,27,25.48,25.62,25.19,25.53,24.08,29.86
T_Max,1989,24.62,27.01,28.33,29.23,29.11,26.97,25.95,26.12,25.63,25.41,25.6,24.7,29.23
T_Max,1990,24.95,26.75,28.76,29.64,28.45,27.56,26.24,25.57,26.07,26.12,24.75,25.19,29.64
T_Max,1991,24.22,26.19,28.83,31.26,27.23,26.45,25.52,25.73,25.97,25.53,25.28,25.23,31.26
T_Max,1992,24.89,29.24,29.95,31.69,28.73,29.09,25.51,25.33,25.82,25.76,25.47,25.26,31.69
T_Max,1993,27.2,28.41,29.17,30.76,28.8,25.4,25.17,25.05,25.14,25.55,25.3,24.83,30.76
T_Max,1994,26.14,27.9,28.92,29.68,30.09,28.2,25.62,26.19,26.76,26.48,26.31,25.16,30.09
T_Max,1995,26.49,28.01,29.32,31.39,28.52,26.85,26.19,26.08,25.05,25.74,24.94,25.33,31.39
T_Max,1996,24.78,26.71,30.36,29.45,28.9,26.48,26.23,27.41,27.19,26.03,26.35,24.17,30.36
T_Max,1997,24.91,26.41,28.84,29.36,28.19,27.73,25.12,26.65,26,25.7,25.8,24.8,29.36
T_Max,1998,26.32,29.92,31.29,31.79,31.12,26.66,25.87,25.06,26.21,25.25,25.19,24.06,31.79
T_Max,1999,24.21,23.94,25.87,26.9,25.8,25.41,24.83,25.65,24.54,24.49,25.15,23.39,26.9
T_Max,2000,23.99,23.37,26.65,26.48,27.32,25.61,24.55,24.41,25.18,25.3,25.31,24.15,27.32
T_Max,2001,23.89,24.28,29.47,28.01,28.9,25.32,25.52,26.32,25.44,25.54,25.53,24.9,29.47
T_Max,2002,24.55,25.09,27.29,26.55,26.36,25.81,24.68,25.03,25.06,25.06,24.79,24.23,27.29
