dds,lluvia,T_max,T_min,T_prom,rad,etr_1,fertirriegos
1,0.00,30.80,21.33,26.07,0.0032,4.750205411,0
2,2.10,32.43,23.23,27.83,0.0033,4.870388993,0
3,32.60,31.87,22.69,27.28,0.0034,4.806450951,0
4,1.50,30.23,21.60,25.92,0.0030,4.519133254,0
5,12.20,32.45,20.65,26.55,0.0037,5.361099833,0
6,21.70,30.53,23.23,26.88,0.0021,4.248091489,0
7,0.10,31.51,22.29,26.90,0.0034,4.776307186,7
8,3.90,32.69,21.33,27.01,0.0037,5.314756557,0
9,48.90,31.69,22.01,26.85,0.0029,4.888531396,0
10,0.10,31.35,22.15,26.75,0.0038,4.755113514,0
11,0.00,30.57,23.50,27.04,0.0025,4.195136997,0
12,0.40,31.80,22.76,27.28,0.0044,4.769659643,0
13,0.30,28.85,23.20,26.03,0.0015,3.665771712,0
14,0.00,32.01,23.23,27.62,0.0048,4.736021384,7
15,21.30,30.84,22.42,26.63,0.0028,4.536820804,0
16,3.50,29.18,20.25,24.72,0.0016,4.470819945,0
17,0.00,31.43,19.57,25.50,0.0035,5.247464482,0
18,2.10,31.73,22.29,27.01,0.0043,4.844848576,0
19,2.30,30.87,22.69,26.78,0.0047,4.486792475,0
20,0.20,30.26,22.80,26.53,0.0036,4.260753524,0
21,10.90,29.75,22.15,25.95,0.0022,4.244280911,7
22,33.30,30.63,20.96,25.80,0.0033,4.770558061,0
23,0.00,31.42,20.18,25.80,0.0047,5.143857297,0
24,0.00,30.50,22.53,26.52,0.0034,4.40249814,0
25,13.20,30.77,22.96,26.87,0.0027,4.392503559,0
26,0.00,29.34,22.49,25.92,0.0020,4.026197134,0
27,0.00,31.39,21.88,26.64,0.0042,4.822083316,0
28,0.00,32.55,22.01,27.28,0.0038,5.150192708,7
29,0.00,31.70,21.06,26.38,0.0042,5.07125901,0
30,0.00,31.42,21.67,26.55,0.0045,4.872661406,0
31,0.00,31.68,21.06,26.37,0.0041,5.065343764,0
32,8.70,32.48,22.73,27.61,0.0035,4.98913499,0
33,0.20,32.68,22.42,27.55,0.0040,5.11175745,0
34,38.20,25.30,22.69,24.00,0.0088,2.376095272,0
35,13.00,25.71,22.76,24.24,0.0099,2.540629442,7
36,1.30,30.12,22.19,26.16,0.0037,4.355762031,0
37,5.90,25.16,22.96,24.06,0.0059,2.184891279,0
38,8.80,29.61,22.96,26.29,0.0019,4.000561348,0
39,3.50,28.03,22.76,25.40,0.0016,3.489458622,0
40,3.50,31.28,22.15,26.72,0.0045,4.733267326,0
41,0.10,30.86,21.13,26.00,0.0047,4.807288848,0
42,9.80,27.29,22.29,24.79,0.0013,3.351289216,7
43,68.60,29.14,22.45,25.80,0.0016,3.967975735,0
44,0.60,30.84,22.42,26.63,0.0033,4.536820804,0
45,3.50,31.91,22.29,27.10,0.0042,4.900643874,0
46,114.40,29.75,22.75,26.25,0.0028,4.101230699,0
47,91.30,25.20,23.30,24.25,0.0030,2.039680141,0
48,108.20,26.24,22.48,24.36,0.0060,2.876827301,0
49,27.30,25.18,22.73,23.96,0.0082,2.299909764,7
50,29.30,30.68,22.08,26.38,0.0029,4.559258369,0
51,6.70,28.62,21.78,25.20,0.0014,3.957453069,0
52,0.00,30.53,22.29,26.41,0.0039,4.465842347,0
53,0.00,32.25,22.46,27.36,0.0039,4.971832161,0
54,23.70,31.35,22.69,27.02,0.0047,4.641411405,0
55,0.10,31.91,21.33,26.62,0.0044,5.084411062,0
56,61.80,31.23,22.08,26.66,0.0032,4.732062025,7
57,35.50,29.82,23.09,26.46,0.0024,4.040072364,0
58,0.30,28.47,22.90,25.69,0.0019,3.611489353,0
59,11.50,28.45,23.27,25.86,0.0015,3.496776526,0
60,0.20,30.80,22.96,26.88,0.0029,4.40240976,0
61,0.50,32.69,22.69,27.69,0.0040,5.062152259,0
62,25.80,29.87,22.32,26.10,0.0015,4.244316833,0
63,0.80,30.59,22.39,26.49,0.0030,4.463051243,7
64,0.10,28.21,21.84,25.03,0.0019,3.803525696,0
65,0.00,31.28,22.29,26.79,0.0046,4.704222813,0
66,7.30,31.34,21.57,26.46,0.0032,4.867757043,0
67,3.70,31.97,20.72,26.35,0.0031,5.210471793,0
68,0.20,32.30,20.89,26.60,0.0032,5.277110028,0
69,4.10,30.16,22.56,26.36,0.0030,4.284055887,0
70,0.00,30.67,21.88,26.28,0.0030,4.598392365,0
71,0.00,31.48,22.22,26.85,0.0034,4.781302524,0
72,0.00,29.37,21.20,25.29,0.0021,4.333675536,0
73,0.00,32.38,22.63,27.51,0.0014,4.978146916,0
74,0.00,32.38,22.63,27.51,0.0014,4.978146916,0
75,0.00,32.38,22.63,27.51,0.0014,4.978146916,0
76,0.00,32.38,22.63,27.51,0.0014,4.978146916,0
