Bloque,Cable,Planta,Repeticion,Tratamiento,Medicion,AlturaPT,CircPT,Hojas,dosis,frecuencia,cobertura,DDT,crec_alt,crec_gros,clorofila
4,55,1,1,T08S,1,1.42,7.50,6,0,8,0, 27.00 ,0.12,1.10,
4,55,2,1,T04S,1,1.83,11.50,8,0,4,0, 27.00 ,0.13,1.90,
4,55,3,1,T64S,1,1.66,8.50,5,6,4,0, 27.00 ,0.23,2.40,
4,55,4,2,T08S,1,1.60,8.90,5,0,8,0, 27.00 ,0.17,1.90,
4,55,5,1,T68S,1,1.54,8.40,5,6,8,0, 27.00 ,0.21,2.30,
4,55,6,2,T68S,1,1.40,7.20,6,6,8,0, 27.00 ,0.08,0.10,
4,55,7,3,T68S,1,1.36,6.50,4,6,8,0, 27.00 ,0.06,0.50,
4,55,8,1,T38S,1,1.58,8.90,7,3,8,0, 27.00 ,0.24,1.60,
4,55,9,2,T38S,1,1.31,6.20,4,3,8,0, 27.00 ,0.06,1.30,
4,55,10,4,T68S,1,1.64,9.30,5,6,8,0, 27.00 ,0.19,1.70,
4,55,11,2,T64S,1,1.46,9.30,9,6,4,0, 27.00 ,0.06,1.40,
4,55,12,2,T04S,1,1.90,10.70,7,0,4,0, 27.00 ,0.20,2.00,
4,55,13,3,T08S,1,1.48,7.80,8,0,8,0, 27.00 ,0.16,1.80,
4,55,14,3,T64S,1,1.46,8.00,5,6,4,0, 27.00 ,0.11,1.60,
4,55,15,1,T34S,1,1.59,10.00,5,3,4,0, 27.00 ,0.11,2.70,
4,55,16,2,T34S,1,1.63,10.00,9,3,4,0, 27.00 ,0.06,0.80,
4,55,17,3,T34S,1,1.65,9.00,8,3,4,0, 27.00 ,0.12,1.20,
4,55,18,3,T38S,1,1.50,8.40,6,3,8,0, 27.00 ,0.17,1.20,
4,55,19,5,T68S,1,1.44,7.60,7,6,8,0, 27.00 ,0.14,1.10,
4,55,20,4,T38S,1,1.44,8.50,7,3,8,0, 27.00 ,0.07,1.40,
4,55,21,4,T64S,1,1.47,8.00,6,6,4,0, 27.00 ,0.08,2.10,
4,55,22,4,T34S,1,1.54,10.20,7,3,4,0, 27.00 ,0.11,2.40,
4,55,23,5,T64S,1,1.64,9.50,5,6,4,0, 27.00 ,0.27,3.00,
4,55,24,6,T64S,1,1.66,9.00,6,6,4,0, 27.00 ,0.21,1.20,
4,55,25,5,T34S,1,1.69,9.80,7,3,4,0, 27.00 ,0.16,1.80,
4,55,26,6,T34S,1,1.61,9.40,7,3,4,0, 27.00 ,0.19,1.70,
4,55,27,7,T34S,1,1.45,10.10,9,3,4,0, 27.00 ,0.05,2.00,
4,55,28,5,T38S,1,1.60,9.00,8,3,8,0, 27.00 ,0.10,1.40,
4,55,29,4,T08S,1,1.66,10.00,7,0,8,0, 27.00 ,0.11,2.50,
4,55,30,7,T64S,1,1.47,7.50,7,6,4,0, 27.00 ,0.17,1.60,
4,55,31,5,T08S,1,1.61,10.50,8,0,8,0, 27.00 ,0.03,1.70,
4,55,32,6,T08S,1,1.35,7.10,5,0,8,0, 27.00 ,0.09,1.60,
4,55,33,7,T08S,1,1.42,8.20,7,0,8,0, 27.00 ,0.12,1.80,
4,55,34,6,T38S,1,1.50,7.90,5,3,8,0, 27.00 ,0.16,1.90,
4,55,35,8,T34S,1,1.57,8.40,5,3,4,0, 27.00 ,0.22,1.60,
4,55,36,6,T68S,1,1.55,9.80,6,6,8,0, 27.00 ,0.10,1.60,
4,55,37,8,T64S,1,1.70,10.10,8,6,4,0, 27.00 ,0.14,0.90,
4,55,38,3,T04S,1,1.49,9.10,8,0,4,0, 27.00 ,0.16,1.40,
4,55,39,4,T04S,1,1.51,9.00,8,0,4,0, 27.00 ,0.08,0.60,
4,55,40,7,T68S,1,1.38,6.30,4,6,8,0, 27.00 ,0.11,1.50,
4,55,41,8,T68S,1,1.34,6.80,5,6,8,0, 27.00 ,0.08,1.80,
4,55,42,9,T68S,1,1.43,7.60,4,6,8,0, 27.00 ,0.16,2.20,
4,55,43,7,T38S,1,1.70,10.00,6,3,8,0, 27.00 ,0.10,0.40,
4,55,44,9,T34S,1,1.40,8.50,5,3,4,0, 27.00 ,0.04,1.00,
